AuthorID,Author,Date,Content,Attachments,Reactions
"774370941207707680","chrshlsll1812","2022-03-04T03:04:17.2650000+01:00","https://discord.gg/T9dxeRmY","",""
"774370941207707680","chrshlsll1812","2022-03-04T03:07:49.6450000+01:00","Hi Everyone, 
By popular request this Discord Community has been created for everyone to share ideas, contribute, ask questions, and bask in the awesomeness that is the maker community.
I released the OG solder reflow plate design (sw 1.0, hw 2.4) on GitHub (https://github.com/AfterEarthLTD/Solder-Reflow-Plate) and had it featured on an episode of GreatScott!'s DIY or BUY series (https://www.youtube.com/watch?v=QarizoUnRfk&t=1s).
Since then the community response has been fantastic!
Lets carry on and build the new future!!!!","",""
"774370941207707680","chrshlsll1812","2022-03-04T03:12:53.8950000+01:00","Please feel free to post, create channels for discussions, and development groups. This is our playground!","",""
"378648076962758666","markusvonstaden","2022-03-04T08:48:17.1440000+01:00","Joined the server.","",""
"949235230710038529","vamatis.","2022-03-04T10:22:22.9440000+01:00","Joined the server.","",""
"806511637892038717","vamatis","2022-03-04T10:23:55.8250000+01:00","Joined the server.","",""
"806511637892038717","vamatis","2022-03-04T10:24:30.1610000+01:00","Hi guys 🙂","","👋 (1)"
"806511637892038717","vamatis","2022-03-04T11:23:34.9440000+01:00","Another proposition: shouldn't we move to kicad? Would be easier/more powerfull than easy eda","",""
"676205631354568714","januszwoj","2022-03-04T12:50:37.3960000+01:00","Joined the server.","",""
"676205631354568714","januszwoj","2022-03-04T12:50:53.5380000+01:00","","",""
"721693562538033164","kekschen77","2022-03-04T13:56:06.3000000+01:00","Joined the server.","",""
"721693562538033164","kekschen77","2022-03-04T13:57:22.5680000+01:00","Hey there, I'm in the process of ordering the pcb. I thought about using 2oz Copper for better heat distribution and durability. Is that okay or do you advice otherwise?","",""
"721693562538033164","kekschen77","2022-03-04T13:57:24.0870000+01:00","","",""
"242480744658632714","guardians_projects","2022-03-04T14:24:17.6660000+01:00","Joined the server.","",""
"242480744658632714","guardians_projects","2022-03-04T14:24:47.2500000+01:00","Looking to buy 1 finished one, and here to help source components","",""
"242480744658632714","guardians_projects","2022-03-04T14:24:54.0830000+01:00","I have 328p's","",""
"806511637892038717","vamatis","2022-03-04T14:25:20.5480000+01:00","Where are you from?","",""
"242480744658632714","guardians_projects","2022-03-04T14:25:22.5830000+01:00","Anyone have the BOM sourced?","",""
"242480744658632714","guardians_projects","2022-03-04T14:25:34.9890000+01:00","From Canada 🇨🇦","",""
"806511637892038717","vamatis","2022-03-04T14:26:00.1150000+01:00","I have everything on order, except for the 328p.

I ordered 3 boards and the components for them","",""
"242480744658632714","guardians_projects","2022-03-04T14:26:12.0150000+01:00","What a coincidence","",""
"242480744658632714","guardians_projects","2022-03-04T14:26:28.4390000+01:00","Would you work with me to make finished ones? Just want one for myself!","",""
"806511637892038717","vamatis","2022-03-04T14:26:58.4970000+01:00","Sure why not","",""
"242480744658632714","guardians_projects","2022-03-04T14:29:55.4740000+01:00","This soldering method is actually really awesome","",""
"687084919943725094","oakman","2022-03-04T14:30:01.9120000+01:00","Joined the server.","",""
"242480744658632714","guardians_projects","2022-03-04T14:30:09.0350000+01:00","Reminds me of people making 3d printers with 3d printers","",""
"806511637892038717","vamatis","2022-03-04T14:35:20.3010000+01:00","Old times of reprap..","",""
